m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
Ralph John Whelan	-0.2473101	-0.30009338	0.67421544	-0.105377674	0.64111567	-0.29789442	-0.32929838	0.17987993	-0.912209	0.627123	-0.6304284	-0.18793227	-0.3399362	0.09443784	0.059504345	-0.28574792	0.16211914	-0.18427034	-0.8452733	1.215277	0.029220851	0.45399687	1.2127973	-0.27228877	0.28144184	0.6337343	-0.89577734	-0.40629	-0.1183529	0.26000044	-0.32693142	-0.05003288	1
Ebba Cecilia Margareta Åsly Fåhraeus	-0.16365023	1.0105926	0.24388905	-0.20903952	0.7097666	-0.020582804	-1.3152362	0.21387601	-1.2745259	0.37979156	0.060696807	0.5618195	0.014283507	1.4081783	-1.1898993	-0.01388209	0.30374828	0.2935956	-0.71601444	1.4919235	0.31950516	0.7745796	1.0735993	-0.21524975	1.0963953	-0.61325103	-0.92373025	-0.39594924	0.16279635	0.066955045	-1.1580586	-1.0398511	2
Leif Claes Johan Lindqvist	-0.21544424	1.004822	0.41244203	0.1001345	0.5835289	0.007232768	-1.4560567	0.2572156	-1.0786344	0.69230145	0.30536038	0.5665116	0.0394341	0.94797134	-1.3580844	-0.2587928	0.33405456	0.23314641	-0.5607155	1.5438316	0.064223334	0.7049457	0.7175694	-0.41642553	0.8067956	-0.6272896	-0.8784928	-0.3163002	-0.0066793384	-0.06839317	-0.92896515	-0.78283805	1
Eelke Sjouke Titus Strikwerda	-0.84522706	0.11149313	-0.35276344	-0.13334888	1.7684081	0.32193148	1.0548637	0.10600412	-0.8383438	-0.239392	-0.80938065	0.13516982	-1.4511575	0.7821377	-0.15274842	-0.85306454	0.17306921	-0.35184664	-2.3927054	1.9210005	1.1992751	0.1026248	2.0779698	0.029563878	1.123154	0.48205248	0.24106082	-0.077253774	0.8887271	0.35098264	0.45767543	0.21489361	1
Gunnar Espeland	-0.8505696	0.07618936	-0.3280602	-0.114641875	1.744504	0.3008265	1.0294069	0.1717914	-0.77514255	-0.19455971	-0.78060323	0.1629417	-1.4802172	0.84406155	-0.23594044	-0.81884134	0.10794242	-0.3982378	-2.3599029	1.8400176	1.2098427	0.09532089	2.0392225	0.027803885	1.0944768	0.4651764	0.25737572	-0.08204924	0.84589976	0.39041087	0.40296704	0.1943808	1
Julie Johnson Robertson	-0.84588337	0.10200089	-0.26986575	-0.14523615	1.7400049	0.35232744	1.0312232	0.12651385	-0.7883638	-0.15828484	-0.7374272	0.14547116	-1.4509882	0.8185102	-0.18863264	-0.8320455	0.15820749	-0.32878128	-2.3039777	1.9216064	1.170439	0.109030165	2.0559895	-0.00414735	1.0644054	0.44698593	0.24472907	-0.10148621	0.7983526	0.36443567	0.46776506	0.20834982	2
Einar Mårstad	0.33149165	-1.1851796	1.3900874	-1.457636	-0.011560106	-0.62962323	-0.17661417	-0.5694696	-1.066637	2.26515	-0.6609374	0.7633279	-0.62134075	0.7660663	-0.20309383	-1.8941381	0.09315614	-0.4901862	-1.2933266	1.2540145	0.99676764	0.44125265	0.7647239	0.7518055	0.2319129	-0.32195905	-0.24985652	-1.1356994	-0.2804576	0.63224	-0.9015274	-0.083534196	1
Finn Pedersen	0.2436363	-1.1743197	1.3819009	-1.4942619	-0.050746575	-0.6122854	-0.16973901	-0.60471755	-1.1626378	2.3013182	-0.7069001	0.8114271	-0.5807025	0.7548569	-0.14865397	-1.924347	0.03538491	-0.5196884	-1.3018749	1.2217398	0.99381226	0.44855294	0.7401452	0.73248494	0.23862465	-0.29869652	-0.1938096	-1.233822	-0.26812553	0.57959455	-0.8772036	-0.05426508	1
Rikard Arne Storvestre	0.30129087	-1.1802783	1.4507673	-1.4896814	-0.07276301	-0.601325	-0.21159609	-0.581302	-1.1256878	2.3459463	-0.7668446	0.8060638	-0.56154704	0.81632704	-0.18448395	-1.940699	0.08643952	-0.5047086	-1.331033	1.2686441	0.9414164	0.4446047	0.76385134	0.715299	0.28623056	-0.305248	-0.23001337	-1.2230781	-0.26078883	0.6319277	-0.8394717	-0.040587254	1
Eirik Steen Nøding	-0.24350518	-0.0609906	0.3539183	-0.538929	1.2348399	-0.5284921	0.22371142	1.0104237	-2.0569088	0.30004606	0.16329956	0.6152151	-0.39506987	-0.0046736514	-0.7290242	-1.2716712	0.39803424	-1.1291702	-0.8587724	0.33447737	1.3597137	1.3750075	2.001929	1.1611327	0.6905415	0.6308289	-0.09869851	-1.0373617	-0.5676909	1.6565708	-1.0322107	0.88728726	1
