m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
Rok Piltaver	-0.5741084	-1.0057734	1.0222424	-0.6206478	0.4193499	-0.19532385	0.4637417	-0.10524287	-0.2766573	-0.42636386	-0.42851272	-1.0200347	-0.061271414	-0.021880718	-0.49814335	0.9477974	-0.22948852	-0.07288722	-0.14819838	0.23000853	0.38918626	1.1275703	0.20547843	-0.21415675	0.4954962	0.17214724	-0.33267185	0.10471785	0.99665993	-0.2085231	0.28315476	0.24957927	7
Darko Čerepnalkoski	-0.626614	-0.037630927	0.7917294	-0.40893272	0.29708478	-0.48061496	0.78131545	-0.046295352	-0.7792965	-0.3084504	0.6392732	-0.36105487	-0.11950127	-0.45523265	-0.7790754	1.175098	-0.20901138	0.24821092	-0.054944485	1.1063644	0.39058638	0.42061222	0.54656017	-0.47750524	-0.16383599	-1.1148399	-0.48767543	0.7818194	0.41154817	-0.37573284	-0.107448526	-0.12445159	0
Ciril Bohak	0.5494509	0.09605692	-1.0748961	-0.12875569	-0.6172758	0.6079885	1.487633	0.02228362	0.10159575	0.06424281	-0.48764133	0.5382472	-0.11116331	-0.32061934	-0.96747005	0.95585823	-0.73060036	-0.39187565	-0.26361358	1.0274478	1.6248256	0.8694915	0.5408984	0.8692046	-0.66043377	-0.41750807	-1.0544262	0.61834234	1.6426939	0.115842	0.82512486	0.54691917	3
Aleš Frece	0.6505111	-0.33296427	0.27332094	-0.27647144	0.21698064	0.28765535	0.5703523	-0.529723	0.7707405	0.556975	-0.06994774	-0.063708514	0.156837	-0.32367653	-0.7134016	0.18018556	-0.6816463	0.437332	0.737316	0.9917941	-0.054387685	1.3712065	0.2927211	-1.4384303	-0.53520834	1.3166295	-0.92987543	-0.044981994	1.243209	-0.8834508	-0.50649405	0.17556863	0
Marko Toplak	-0.41313034	-0.535097	-0.3553905	-0.43006754	0.11855262	-0.5039957	1.4314018	-0.26598594	-0.53649086	-0.88070524	-0.13658786	-0.10564823	-0.25070557	-0.7002902	0.12587923	0.87128687	-0.0680987	0.8390481	0.6774733	-0.06785369	-0.7854212	0.19190015	-0.3205332	-0.24906476	-0.3079703	-0.28444895	-0.5902075	1.0030186	0.9582853	-0.5700414	0.27436212	-0.20107247	7
Roland Perko	-0.60368943	-1.2013009	-0.89880306	-0.3833286	0.6951003	-0.08687597	-0.08173322	0.030878423	-0.7633987	-0.32051498	0.050122194	-0.41940266	-1.0313832	-0.2705415	-0.029936487	0.6789187	-0.14320295	-0.46606794	0.22463697	0.5492681	0.6004504	-0.09871318	-0.8322315	-0.47368863	0.45749223	0.61204004	-1.1496029	0.4839465	1.1648735	0.035732858	0.78003615	0.5361951	7
Matej Kristan	-0.510225	-1.3499632	-0.73160064	-0.7214371	0.44011402	-0.36827612	-0.27869752	-0.30095217	-0.39770126	-0.29891303	0.07826597	-0.31792548	-1.2357777	0.10103484	0.2362716	0.8338998	0.16252358	0.09599381	0.24219899	0.800263	1.1097149	0.7336515	-0.5641094	-0.63133687	0.035894953	0.29205102	-0.4303433	0.51322967	1.2396384	0.023147052	0.89276737	-0.23049559	7
Iztok Starc	-0.35523918	-0.44402993	-0.9598144	-0.8023439	0.11500986	-0.86457723	0.98794055	0.535467	-0.45655277	0.27639613	-0.30028006	0.82950354	-0.19217546	-0.74470115	-0.30936253	1.4988115	0.4728326	1.0706567	-1.099064	0.12128638	-0.49595404	0.13190278	-0.54559374	-0.3869328	-0.5349999	-0.03195771	-1.1647886	0.6698786	1.2441816	-0.8063039	-0.6617577	-0.30374056	5
Marjana Heričko	0.487693	-0.042326517	-0.80932194	0.16914774	0.13054284	0.5902076	0.60622287	0.05471956	0.022159433	0.41318005	0.18792789	0.218575	-0.015289722	0.5763758	-0.47952396	-0.120398924	-0.35982594	0.5819933	0.38640767	0.33301982	0.31984568	1.2451749	0.25004947	-0.7924114	0.008442392	0.6761862	-1.7176297	-0.027091924	0.6577416	-0.27266032	-0.16314515	0.52326673	5
Michael J. Galsworthy	-0.015902348	0.008387566	0.012730531	-0.021444649	-0.028598554	0.028010674	-0.018424228	-0.022057265	-0.028239958	-0.022429608	-0.014243729	-0.004355587	0.007813379	-0.0007352084	-0.011401266	0.0014327392	-0.028566122	0.009695865	0.009212658	0.02211544	-0.020835452	0.030128345	-0.016936295	-0.003274627	0.016099162	-0.0025850832	-0.015772268	-0.01661589	0.013551392	0.01241377	0.008479506	0.0008568093	5
